"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ASV1",3345.18194363737,6.91876474937048e-08,1.29913208864445,-1.31260121671367,0.189317359414036,1
"ASV4",518.989953508512,3.17669771483491e-07,1.30075023780306,-1.34206177157966,0.179575967712219,1
"ASV9",288.110720633368,-3.2690689950611e-07,1.12003890995405,-0.0494832255254539,0.960534204913995,1
"ASV10",299.327397129564,-2.68637844301725e-07,1.23013990425276,-1.17964161282221,0.238142785035701,1
"ASV11",204.37181095189,-2.72389626300908e-07,1.11028535415353,0.471461044004826,0.637311532413604,1
"ASV13",218.984352989802,7.47349695561455e-07,1.96735507840296,0.456226737085527,0.648226940741505,1
"ASV14",171.851121863379,3.64592291933207e-07,1.12196664052569,0.688717761855637,0.491000896469518,1
"ASV15",137.502920813018,-2.11345962440726e-07,1.10819699305561,-0.331864248067418,0.739991767778616,1
"ASV16",139.097214684579,-4.84541059128351e-07,1.27240404242512,-1.21505620828388,0.224344654215827,1
"ASV19",109.203415233101,-6.19511711292639e-07,1.20962492137627,-0.152954764553924,0.878433948093921,1
"ASV20",103.038664682869,1.5930751489155e-07,1.21605632990422,0.461676821402099,0.644313095290248,1
"ASV21",106.149122005778,-8.19457093809612e-08,1.13464680457095,0.31841779519406,0.750168041577563,1
"ASV22",112.778550917909,1.11592195239293e-07,1.35632937480439,-1.40651580561606,0.159571014560629,1
"ASV23",89.984947783416,-1.52975211954076e-07,1.11299056199353,-0.147450666795392,0.882776316207,1
"ASV24",87.18875614923,-4.59721393311977e-07,1.13051464998374,-0.369969466816653,0.711405240699692,1
"ASV25",97.8189398102103,1.0892805100693e-07,1.20451391242727,-1.77707735638439,0.0755555131771125,1
"ASV26",78.5045163190298,2.89535447113182e-07,1.14316924172508,0.136933782168476,0.891083136031149,1
"ASV28",78.4675701652148,-1.08081918372973e-07,1.12008931829478,0.0745273598384198,0.940590771694998,1
"ASV29",80.2629958868368,-6.72185788187957e-07,1.23669028811285,-1.22184794290643,0.221765134500601,1
"ASV30",72.8707700823161,-1.66492909955367e-07,1.1167710325316,0.556596250397589,0.577803316216448,1
"ASV33",81.1407095426599,2.78130046270023e-07,1.46587165781553,-0.20596405445124,0.836818989677446,1
"ASV35",61.9340460130665,-3.10230255244061e-07,1.16947779662399,0.0361004681553514,0.971202249038646,1
"ASV36",63.3927259119187,5.67683293336591e-07,1.19617947968333,0.0302351816689954,0.975879490435023,1
"ASV37",65.0768640454235,4.28650388527127e-07,1.79986943689038,-0.288981179616341,0.77259577990597,1
"ASV38",58.2717738329653,4.91570023471763e-07,1.23697026288736,0.955213436196726,0.33946977243249,1
"ASV39",64.5464454960266,-5.65328161702388e-07,1.25537653100018,-1.68133032687764,0.0926987703939814,1
"ASV40",68.8460887499399,-4.24770596959763e-07,1.56892312753799,-1.08782176571376,0.27667379882616,1
"ASV41",52.7047562465547,-8.28109807672277e-07,1.18433075166409,0.0901124520533078,0.928197854171237,1
"ASV42",55.098677868932,-1.76342175316483e-07,1.40828106794619,-0.725228563398347,0.468311822442555,1
"ASV44",55.8744819038932,5.03952810578202e-07,1.21924338537112,-0.31317871884219,0.754144885666404,1
"ASV46",49.5849468626536,-1.86337468321001e-07,1.99930589592015,-0.421819533173318,0.673156747096245,1
"ASV48",49.9945192915393,-9.67592666444625e-09,1.16422550998331,-0.486407333632197,0.626678391985499,1
"ASV49",47.2667277768163,4.57193791508091e-07,1.12606413293112,0.534796733181475,0.592790422283644,1
"ASV50",63.6457504985242,-3.06163502099766e-08,1.34155931647306,-1.49820981307302,NA,NA
"ASV51",67.7524249145142,1.63585143145319e-07,1.93924919135242,-1.10067930227262,NA,NA
"ASV52",49.6142947136342,4.26434356979957e-07,1.47607539581482,-0.224130478394448,0.822655777359725,1
"ASV53",46.1423255619059,-3.74491721245053e-07,1.14040547342671,0.051700296110634,0.958767501294763,1
"ASV54",48.0819988843155,2.59885806864755e-07,1.49289672119436,-0.976565331846121,0.328784389278411,1
"ASV55",48.2476957530173,2.94889280145774e-07,1.20499253727278,-0.982847361160504,0.325682568192383,1
"ASV56",44.2092973222943,-5.00200863233993e-07,1.17878285315622,0.225722128559893,0.821417546117082,1
"ASV58",46.2031294568451,1.629084177512e-07,1.83482162716564,-0.746366595287422,0.455445992598159,1
"ASV59",41.7106225947134,6.578262236429e-08,1.15840234959854,0.571237263066162,0.567838822170758,1
"ASV60",44.2429780740482,1.12013890888123e-07,1.85054490850439,-0.72392746090959,0.469110269943438,1
"ASV61",40.8392208860639,-1.57633049608793e-07,2.010865283822,-0.715768190392401,0.474134497049438,1
"ASV62",42.8355894995085,-4.38357950320762e-08,1.14112528311239,-0.18206842281072,0.855529029462331,1
"ASV65",41.0125835110422,-1.57904232260964e-07,2.18044470417698,-0.898309245308307,0.369020704961506,1
"ASV67",43.2291168319212,2.20590060410755e-07,1.17425205524148,-0.591836918939999,0.553959798356917,1
"ASV68",38.4019800098195,-4.4254941296199e-07,2.02139958657721,0.374851428641672,0.707770963765045,1
"ASV69",37.9712679500716,4.93958902165609e-07,1.65813721558481,0.682157804581222,0.495139172607312,1
"ASV70",37.0008420748315,-9.45650415203776e-08,2.39369076485411,-0.444835536847119,0.656438610910841,1
"ASV73",35.8938516134731,-2.50218353682438e-07,1.36499741316255,0.182496714296609,0.855192932674285,1
"ASV74",31.8163175333728,1.78212568358315e-07,3.65040206528816,6.3766020770518,NA,NA
"ASV75",33.889970507908,-2.58782772135801e-08,1.18637590846195,0.67869275150935,0.497332559878903,1
"ASV76",34.0522764098739,-8.29080826074262e-07,1.17926686858905,0.128478435360113,0.897770362870564,1
"ASV77",33.7794042937296,9.82081216047424e-07,1.21193345930451,0.811754845798613,0.416932316525471,1
"ASV78",34.9063882517908,5.29492011801063e-08,1.15633248557788,0.199392272700679,0.841955904619315,1
"ASV81",32.9798755709802,-4.77003694406013e-08,2.16896913552356,0.0724839533970439,0.942216775210197,1
"ASV82",40.1326303620547,5.80769488761576e-07,1.2547684669296,-0.97894277641228,0.327608254628725,1
"ASV83",35.3779864252225,-2.00154525697679e-07,1.16857731367233,-0.278852700157746,0.780357868970484,1
"ASV84",45.5631554258644,-2.85835066438845e-07,3.34661265693795,-2.86119062979917,0.00422053193029106,1
"ASV85",38.4375444159553,-1.63713502860054e-08,2.75706507100531,-1.14235287298145,0.253307371953012,1
"ASV87",33.6369116155654,-1.70756886717923e-07,2.18791521291083,-0.795603433786751,0.426262570124246,1
"ASV88",33.0685531881573,-1.48780035828237e-07,1.20013284238001,-0.577196836997806,0.563806493529424,1
"ASV89",31.1782867597381,-6.78250412923483e-08,1.79082445335039,-0.190794045266707,0.848686954176641,1
"ASV91",31.0375798695666,-2.06858116245952e-10,1.14534484259906,-0.0581322072108509,0.953643320118494,1
"ASV92",31.9372675945029,2.85612340077119e-08,1.15580666034776,-0.109907958003554,0.912482371208748,1
"ASV93",29.4785724093694,7.20551162657216e-08,1.25945422355827,0.295990248135135,0.767237528763781,1
"ASV94",28.3235655633806,-2.52239235389775e-07,1.38167111657102,0.591397549810885,0.554254081703379,1
"ASV100",34.1241817416722,-2.85622347063396e-07,1.60861763173074,-1.20802143369279,0.227039017999421,1
"ASV102",25.5813055371241,-1.39135693479267e-07,1.71604046308784,0.74592185908165,0.455714619745887,1
"ASV103",26.3387697682096,4.2917157989045e-07,1.33770521060679,0.656869912022477,0.511264566163557,1
"ASV104",25.1592068058043,4.09442764082195e-07,1.36104780286563,0.687217854555755,0.491945454693673,1
"ASV105",33.2409089844864,4.23339524086087e-08,2.16825107850459,-0.898881740871999,0.368715654655414,1
"ASV106",28.8504407885223,6.22593321556484e-07,1.21533353298949,0.292184615530355,0.770145473690625,1
"ASV108",28.4610116890556,-3.99555713713769e-07,1.57270919058346,-1.47127283779548,0.141217345929024,1
"ASV110",27.034446242519,3.13273769382606e-07,1.39474818670433,-0.0322176251222041,0.974298500660031,1
"ASV112",24.7318227287947,8.12257169219283e-08,1.34124040857341,0.468432189903082,0.639475552843803,1
"ASV114",25.9273687757268,1.07581517621256e-07,1.15666761740405,-0.142199856707415,0.886922144970772,1
"ASV115",24.8120160417763,-3.56614801141881e-08,1.36888104350888,0.0812026044219467,0.935280828329246,1
"ASV116",27.2404646244895,3.36317205862622e-07,1.7962938655,-0.0322917825035094,0.974239362401149,1
"ASV117",26.7725845548289,-3.4257925284744e-07,1.91558924919713,-1.21464087504905,NA,NA
"ASV118",29.4786299185189,3.86157878534061e-07,2.9077469510918,1.78489796447164,NA,NA
"ASV120",25.3086283106118,-1.16180548499829e-07,2.31685678117851,-0.878031387333931,0.379926685638716,1
"ASV122",23.3841238878428,3.5232954698245e-07,1.15250636087748,0.240863289927449,0.80966107497456,1
"ASV123",22.7486690335216,-5.8676586410927e-08,1.56276108783029,0.406084518346853,0.684680500653547,1
"ASV124",24.0465117752374,1.71885090793663e-07,1.59153820216588,-0.127776467681379,0.898325873457073,1
"ASV125",22.5535136970424,1.20566973692972e-07,1.55000367730176,0.133876411397086,0.893500303329016,1
"ASV126",22.895192749924,2.38333913501071e-07,1.1793647871955,0.122448030910056,0.902544201502943,1
"ASV127",21.9316454320428,-1.14220476490434e-07,1.21831775884174,0.621784935318627,0.534083293408294,1
"ASV128",21.98120047281,-7.11614369861319e-07,1.16935631139283,-0.513501450944089,0.607600596103004,1
"ASV129",23.8569932962183,-2.33236134913608e-07,1.75305058197864,-1.3894261962229,0.164703189024452,1
"ASV131",20.0830545481027,1.29485575606137e-08,1.48170145381205,0.763055788404823,0.44543012543367,1
"ASV132",24.4465062942023,-1.08991704066622e-07,2.46852018622416,-1.32871388196763,0.183942383247042,1
"ASV133",21.2393250795406,6.9030130789266e-08,1.17765899459748,0.306021046341612,0.759588621351522,1
"ASV135",23.9586215924942,4.63297880136601e-09,1.42223369899907,-1.22665884665677,0.219950841432994,1
"ASV136",20.5839088374268,-3.07810978998796e-07,1.1684138431596,-0.0952053291625173,0.924151737157531,1
"ASV137",19.7785145713595,-4.12695009603438e-07,1.51558344601142,-0.410028549831823,0.681785004557665,1
"ASV138",18.768476260063,1.84187253030308e-08,1.66664199233212,0.869976278517005,0.384313367867402,1
"ASV139",18.4853977635425,4.38085468203938e-07,2.876589794471,2.72999765491557,0.00633347760766875,1
"ASV140",19.4529901593004,-2.05654310776906e-07,1.77128388474125,0.467015529090137,0.640488767738694,1
"ASV141",22.4524954056165,-7.39550674624929e-08,2.36839140016351,-0.148833030078092,0.881685386664594,1
"ASV142",19.5067312256569,1.18302119535403e-07,2.07497794825979,0.842515196831054,0.399499636980395,1
"ASV143",19.8095243038703,-2.22979968888052e-07,2.18934336099234,0.435291036826631,0.663351190032743,1
"ASV144",16.9109596435979,4.48484231515971e-08,2.73325966350061,1.17539692006387,0.239835955127792,1
"ASV146",20.4640290973037,-5.51979714220389e-07,1.3890373307298,-0.414429273936708,0.678559753687802,1
"ASV148",19.3946031476682,-1.14121294431761e-07,1.16023081461673,0.158694749572904,0.873909374990946,1
"ASV150",22.409620383312,1.89875351123295e-07,2.54959827428,-0.429374433026477,0.667650756802558,1
"ASV151",21.2086137200825,-5.20770992038472e-07,1.61395865349546,-1.0789317363682,0.28061815987943,1
"ASV153",18.2123580644629,1.34355082027412e-07,1.39175590196325,0.148805704226837,0.881706949434926,1
"ASV154",18.6184307759921,8.07031891806143e-08,1.20468648061581,0.107086142079864,0.914720640964291,1
"ASV155",20.5114433424066,5.60017597664544e-07,1.19375603693367,-0.0983699556388463,0.921638530873907,1
"ASV156",16.744604082097,-4.16039954746849e-07,2.41194125613346,-0.709391937661261,0.478081289527893,1
"ASV157",16.1043914017114,1.2511925489473e-07,2.06487987910831,0.551245650441531,0.581465290071771,1
"ASV158",18.2822634039256,1.38418882578782e-07,2.00341020898113,0.925530961474651,0.35468978621688,1
"ASV159",18.0944127110204,-2.1805288205941e-07,2.10324867605046,-0.281082674345619,0.778646989559235,1
"ASV160",17.7135638705465,1.86826180420478e-07,1.51846022568958,0.693745883417097,0.487841585840937,1
"ASV161",15.2715055041491,-5.68652294491821e-07,1.87338618513355,0.657755566738353,0.510695210234141,1
"ASV162",17.0616307954297,1.96535739810592e-07,2.08317668632568,0.645601731048674,0.518537315995223,1
"ASV163",17.1628497680206,4.89155997868342e-08,1.208868949254,0.330433890068846,0.741072137676001,1
"ASV164",24.07651114649,-2.34006799226622e-08,3.24642682819937,-2.70088090174594,0.00691560978540896,1
"ASV165",16.1325913387589,1.94099996991075e-07,1.83474457146682,0.924499881816434,0.355226112986386,1
"ASV167",15.8305774894862,3.43095128621268e-07,1.70190976177299,0.769953229037442,0.441327637229238,1
"ASV168",16.7277887342349,4.29289253503538e-07,1.20231279705771,0.388952827938125,0.697311041929102,1
"ASV169",18.1301200428379,-3.3801955102746e-07,2.55297415020471,-0.184999273391854,0.853229605486153,1
"ASV170",17.7675674698364,-1.60370993399702e-09,2.05861885854645,-1.1023150347894,0.270324735274297,1
"ASV171",17.1368698159794,-4.04945349367351e-08,1.94819406768082,-0.177853991623485,0.858837644042439,1
"ASV172",15.6672080010728,-1.05394504316264e-07,1.73728547839306,0.44324854545484,0.657585968917231,1
"ASV175",17.9946618789144,-4.03303307659387e-07,1.87166567101694,-1.5711953391065,0.116137282390018,1
"ASV176",15.2352741003078,2.42944133305259e-07,1.69372438911965,0.479092650356966,0.631872718087871,1
"ASV177",18.3902203874316,-4.39213614356916e-07,2.78092413230846,-2.78796135848345,0.00530408700244908,1
"ASV178",14.5038128087016,3.62997030430699e-07,1.8713611158642,1.09982295685688,0.271409267872426,1
"ASV179",14.6229387422532,1.54697266064894e-07,1.69146480292346,0.459356054219445,0.645978500709735,1
"ASV180",15.5497791449579,2.02399079241917e-07,1.70685668742455,0.260403601556014,0.794552465123143,1
"ASV181",22.4907346293687,-2.39340559188502e-07,3.65129838247317,-6.33504180336937,2.37276932156685e-10,5.70888298768984e-07
"ASV184",13.5888622589599,-3.20526241912581e-07,1.85952568841207,0.0938488581528158,0.925229219728196,1
"ASV186",14.0356784017384,-2.71651499789408e-07,2.52288520043955,0.212522343121808,0.831699548586829,1
"ASV187",13.7359706637671,1.35665843024115e-07,1.86032284728237,1.01158451348111,0.311736753599573,1
"ASV188",13.7137747498985,2.41009190796742e-07,1.68144594032268,0.555858698868867,0.578307454239157,1
"ASV189",16.1477869398319,-3.65881296043209e-08,2.47140105018011,-0.805977484805627,0.420255831441884,1
"ASV190",15.1218746071674,-3.14163191395821e-07,1.72644965022336,-0.188810104621578,0.850241651947371,1
"ASV191",14.8435440906322,-1.72260364043667e-07,1.91232234632244,-0.190278312831365,0.849091047040971,1
"ASV192",13.5780097799359,5.23958487143152e-08,3.65198850396524,5.88410370776391,4.00216841696307e-09,4.81460860560658e-06
"ASV194",13.6626614957646,2.84317221858659e-07,2.68674993357695,0.673474687093333,0.500645347330102,1
"ASV197",14.3011846886735,-1.9726168805036e-07,2.48422439174143,-0.376814653456383,0.70631135021797,1
"ASV198",12.9289915719307,-3.61238900302341e-07,3.00997804997619,-2.39944046502257,0.0164201497284624,1
"ASV201",15.4001484184906,1.72639155850823e-07,2.3237724696951,-0.0930160960198865,0.925890773886062,1
"ASV203",12.6774173901393,6.04857228791875e-08,1.84316863306464,0.649778692417682,0.515835184357054,1
"ASV204",14.2940577647885,3.96949042677282e-07,1.87448539240422,0.369589267486139,0.711688549061218,1
"ASV206",13.4155788625206,-2.57440760364821e-07,2.06651299660208,0.00415228753912092,0.996686963400806,1
"ASV207",16.5082232931254,1.78864595428051e-07,2.73597554051373,-0.235691011343583,0.81367244533622,1
"ASV208",13.0274337163351,-2.14029931189287e-07,1.71161803676779,0.079035340966755,0.937004512947007,1
"ASV209",12.0200582924762,3.95692045904658e-07,2.23826352734013,0.835255148572929,0.403574064725319,1
"ASV210",14.6829395871743,-8.50369793333743e-08,2.70190883354172,-0.804878858834854,0.420889589278449,1
"ASV211",12.5288778900322,3.27800810215531e-07,1.7006767441178,0.424466077930182,0.671225939392511,1
"ASV212",11.6147041079628,2.06413903386813e-07,3.00242575285292,2.25311355883569,0.0242519897742702,1
"ASV213",12.5472674720816,-9.82696759700615e-08,1.53869403016328,0.280161092913199,0.779353915166032,1
"ASV214",13.2626700587325,2.84949968763987e-07,2.70966456068755,0.339877043654214,0.733949125130161,1
"ASV215",12.161709445658,3.37973803028696e-07,1.97600983186857,1.42783347451639,0.153339795341402,1
"ASV216",11.7585346732555,-3.86500484634425e-07,1.41097202133598,0.514557646763217,0.606862167583027,1
"ASV218",12.3161626981809,-1.06265091347791e-07,1.53100333116116,0.574780435224283,0.565439800202239,1
"ASV219",11.2753615293673,2.78259037553348e-07,2.63700987674171,0.685347950604941,0.493124380305703,1
"ASV220",12.3756633855771,-1.81872358998442e-08,1.35834848242316,0.122574136482781,0.902444336071039,1
"ASV222",11.5577655681609,1.48233043498944e-07,3.16472224564753,0.025683711890111,0.979509615600984,1
"ASV227",10.957296103376,-1.29799447819918e-07,1.79467620591133,1.32250342688207,0.186000568990937,1
"ASV228",16.7292816970334,-9.22716820650111e-08,2.98521726717575,-0.75786468826951,0.448531991643886,1
"ASV229",11.2229625191422,-2.31328323703333e-07,2.92846073529026,0.189270627476209,0.84988071510421,1
"ASV230",15.2263133724657,2.77982415944639e-07,2.1376540747853,-0.296693765768305,0.766700317045973,1
"ASV231",12.0617637870778,7.83190274023485e-08,2.46495736136551,-0.186236209438466,0.852259529617545,1
"ASV232",11.2770601728954,1.60434592681876e-08,1.37437604893733,0.397275650505029,0.691164201166099,1
"ASV233",11.3673481741141,6.51214777100612e-08,2.20228292097598,1.25224885455457,0.210479199138098,1
"ASV234",14.8483771779676,2.71846424880949e-07,3.6509092310851,9.31626118009402,NA,NA
"ASV236",11.9084485846963,3.83622099139722e-07,2.84905508465659,0.541064789406757,0.588462926530387,1
"ASV237",12.5239630818364,2.90308753742541e-07,1.88008684621867,-0.165673428442935,0.868413958072275,1
"ASV239",11.2838482408658,-2.16082633593325e-07,1.602735483642,-1.0250634444373,0.3053332526726,1
"ASV240",12.8059894081746,5.57173708824584e-08,2.71070181516662,-0.293356605182982,0.769249591051599,1
"ASV242",11.1613666146899,2.57541078155229e-07,1.89618940028657,0.257358763558207,0.796901832876107,1
"ASV243",11.0888364366989,1.49059330194248e-07,1.52812066563962,0.473495834587927,0.635859472059707,1
"ASV244",11.0533655029308,1.45539833452502e-07,1.61118553529029,1.58257883989014,0.113517489579639,1
"ASV246",12.5996055067131,-2.15644481466078e-07,1.53884059683836,-0.732854860353928,0.463646956935098,1
"ASV247",12.550628140136,-8.73028238742604e-08,2.2739211998749,-0.840254974166217,0.400765440972066,1
"ASV249",12.0422953163222,6.21382215106783e-07,1.55620478873984,-0.297122801408738,0.766372757005048,1
"ASV250",11.2515988231568,-3.86861846363312e-07,1.34288390599556,-0.140511407281793,0.888255940196472,1
"ASV251",11.7380433048832,5.51425969989877e-07,1.87345138449999,0.61443349762864,0.538928905888696,1
"ASV252",9.81174456437449,1.21250160114191e-07,3.14477632663108,0.0971965746924216,0.922570288166876,1
"ASV255",10.7883274441834,2.4690808220049e-07,2.25598105665014,2.88477286416115,0.00391696151570986,1
"ASV256",10.1596243924656,5.2459917861764e-08,2.03613484672731,0.268732443936074,0.788135583209506,1
"ASV257",11.5683946427278,1.78232678087308e-07,2.69915047844983,0.368506943048636,0.712495269039818,1
"ASV259",10.4815049745434,-9.2309686838035e-08,1.50078225524998,0.559845847792694,0.575584588158361,1
"ASV260",10.0642933676716,-6.91710058863476e-08,1.62823106370275,1.1826184453858,0.236960398885894,1
"ASV261",9.69139273872963,4.3539023716679e-07,2.35329814534721,1.79615946202444,0.0724691598166388,1
"ASV262",10.3825428016456,3.39015492790826e-07,1.69276229437468,0.961522102468593,0.336289717699297,1
"ASV263",10.8903890471244,-1.44070580095377e-07,2.06776221524643,0.0789123945837592,0.937102304534958,1
"ASV265",11.0412771198702,1.60580802408985e-07,2.10263673708911,0.122459752694156,0.902534918731314,1
"ASV266",10.8935351787724,1.51214761856222e-07,2.07237727175057,0.336939725113618,0.736162338152285,1
"ASV267",11.2650849573146,-7.50949860233676e-08,2.48430057888374,-0.164034460723676,0.869704015495008,1
"ASV268",10.4645895530554,-1.01222022823584e-08,1.52384683258393,0.0910862559523672,0.927424053403525,1
"ASV269",10.2961902721625,-3.20399076605578e-07,2.07306426406151,-0.883294882745675,0.377076967922114,1
"ASV270",10.9709882925728,2.14029930516718e-07,1.48834054646496,0.202388764149146,0.83961281156363,1
"ASV271",10.4470050587341,-6.70228194002784e-08,2.45925622350197,-0.38724328148823,0.698576110839402,1
"ASV272",11.20982092805,6.2348483874069e-08,2.48951002768366,-0.0722253051992103,0.942422607122749,1
"ASV273",10.1724709013052,-7.81543484175802e-08,1.38387342215698,0.112139560513563,0.910712750479087,1
"ASV274",9.44337192503486,-1.0612191905518e-07,2.88920527545468,0.422326058018446,0.672787040654058,1
"ASV276",11.4494492437059,1.3043314422446e-07,2.63243341484536,-0.640602452230588,0.521781005935341,1
"ASV277",9.61227930526777,2.7519995804506e-07,2.16078551335249,1.23293390529807,0.217600424442794,1
"ASV279",7.72157521009119,-6.12149404570157e-09,3.6531364605585,-6.71408335893711,NA,NA
"ASV280",10.5434495699,-4.88903435306476e-08,1.743602114965,-0.175230820378251,0.860898267824517,1
"ASV281",9.54020314670581,1.26430655953464e-07,1.48056018481451,1.16089322113222,0.245685325959203,1
"ASV283",10.2737451343,-2.37453671802503e-07,3.65370311087392,-1.89053562183079,NA,NA
"ASV284",10.2086224836384,-6.87075925411307e-08,1.68854837157127,-0.604427080777013,0.545559735713749,1
"ASV286",9.13092514602172,-3.88792361604658e-08,1.8758554823435,0.422850478300485,0.672404355865653,1
"ASV287",10.6477208819075,2.59442232980739e-08,2.45092214192913,-0.555893892825571,0.578283393442951,1
"ASV289",8.39212373986088,-3.32055385470043e-07,2.0057509742953,0.246805307576268,0.805058902687848,1
"ASV290",9.20321988713937,3.81065785629103e-07,2.53975194439346,0.871010963424522,0.383748166942829,1
"ASV293",9.39544799008429,-2.44603601864855e-07,1.51115509785571,-0.30082092035128,0.763551054753544,1
"ASV294",9.16013046257271,2.52906110262412e-07,2.01992932499079,-0.117051435572575,0.906819293892082,1
"ASV295",10.4369539214521,-7.79684245256958e-08,1.97373678741617,-0.457477530444377,0.647327849091618,1
"ASV298",10.34248651506,4.09653244277694e-08,1.90022231134614,0.189539413699086,0.849670067236341,1
"ASV299",10.0685232442246,-6.52319861298744e-08,2.44969229214712,-0.616378711185226,0.537644600547704,1
"ASV300",8.36611512637268,5.1829715659052e-07,1.67987774277735,1.11237852765116,0.265975432883331,1
"ASV301",7.86827501714054,2.11330764915543e-07,3.65223359528528,5.9119086673203,NA,NA
"ASV302",12.0924168091522,-1.66805268015647e-09,2.76557151796036,-1.40119568174184,0.161155565273809,1
"ASV304",11.548319750531,2.16061128419869e-07,3.50478726269346,-0.248808223230557,0.80350912988701,1
"ASV305",12.3404616830027,1.41654626515472e-07,2.84776771060224,-0.794082774757572,0.427147244750429,1
"ASV306",9.12837666676351,-2.13622774527648e-07,2.87108845942812,-0.101351785492841,0.919271208915525,1
"ASV307",7.83472105930171,1.47093721544079e-07,2.72006845708898,2.19551439665786,0.0281267193315923,1
"ASV308",7.9980931984645,5.5498885695323e-07,2.45839252871406,2.54741390987266,0.0108524626808534,1
"ASV309",10.5987402505265,-2.5120851557855e-08,3.65221880718953,-6.55895867527492,NA,NA
"ASV310",7.40386784765995,-5.97456316699323e-08,3.27218122922582,1.64660778570105,0.0996386891155369,1
"ASV311",8.74006651016912,5.4742726468968e-08,2.66682160994216,0.343343209614608,0.731340277668038,1
"ASV312",9.31685244883238,-2.83011005669712e-09,1.40726870492967,-0.49881149330077,0.617912189957599,1
"ASV313",8.50059907047544,-2.11275682250291e-07,1.86297262507123,-0.195138667374825,0.845284392214704,1
"ASV315",9.31597644029506,-2.4990734965932e-07,2.45493073393462,-0.468234867278124,0.639616640387982,1
"ASV316",6.96054690480373,-2.36730613944385e-07,3.65848041415645,-1.57581118901914,NA,NA
"ASV317",7.56364782291874,2.18149468591041e-07,2.13087961122468,1.60303559683826,0.108926795304881,1
"ASV318",8.06319872096611,1.26515623728944e-07,2.62735906158416,0.568309017229044,0.569825157193849,1
"ASV320",7.84949142389407,-1.11310785902605e-07,1.61260789804916,0.995408132723962,0.319537804760354,1
"ASV321",9.16890819214605,-1.40150239495219e-07,3.43066742247645,-0.311480192133904,0.755435598858404,1
"ASV322",8.24234867064586,-1.2889176209399e-07,1.84745553755284,0.443465046303203,0.65742939620961,1
"ASV323",7.77105166604772,6.29222130102948e-08,2.41244399376543,0.355635855802083,0.72211328784077,1
"ASV324",9.26799522555841,-2.36218708121509e-07,3.65348317427439,-1.91320469776454,NA,NA
"ASV325",7.86327699162285,3.24508801379663e-07,2.38501583929351,0.510897673935337,0.609422710037719,1
"ASV329",9.3434389714059,-1.97917816495346e-07,2.88326876788232,-0.921080317193609,0.357008495626077,1
"ASV330",6.56596219236724,2.1061316543718e-07,3.52886235759667,1.74073817594403,0.0817294832814433,1
"ASV331",9.89903484436522,-1.04106955935791e-07,3.17536721819906,-0.491731036110175,0.622909494815143,1
"ASV332",7.13741958884965,-2.94755499953615e-07,2.32307530714712,0.588491453063849,0.556202469027824,1
"ASV333",9.53845399159424,1.09031619343618e-07,1.36517527817963,-0.543473368119906,0.586803922521295,1
"ASV335",8.12746340440668,-3.80138675694423e-08,2.43381250006281,-0.272986311175098,0.784863738179085,1
"ASV336",7.54007124417784,-7.90236867623547e-08,2.86469266974943,-0.0456353843506956,0.963600865907057,1
"ASV337",7.37284150961647,-1.7867888729613e-07,3.35041707056395,0.0539494627855168,0.956975428413429,1
"ASV338",7.78405618159772,5.48617836623269e-08,2.2103236817491,0.333763134488051,0.738558304116217,1
"ASV339",8.28139659234406,7.50792468228894e-08,3.01082297755457,1.95886684509887,0.0501283827413959,1
"ASV340",7.57301538274095,2.797703951017e-07,2.70253330157943,2.2948416451141,0.0217422010492926,1
"ASV341",6.94508917877032,-3.57594243060663e-07,3.55502647772255,1.14161234180211,0.253615191663224,1
"ASV344",8.94400867755711,2.25190012265949e-07,3.54390177532016,-0.16221663012221,NA,NA
"ASV345",8.39763078140588,3.02260072708964e-07,3.08887075710945,-0.747688881686963,0.45464783902047,1
"ASV346",7.24051923081911,-9.4788031111755e-08,1.68434230887764,0.477006042368814,0.633357818955051,1
"ASV347",7.09899062465399,1.9668635905113e-08,1.97438918931363,0.530278941112703,0.595918545327695,1
"ASV348",9.88797761726443,1.19053194912092e-07,2.87810723484023,-0.49769667913287,0.618697849106561,1
"ASV349",8.03905241041012,-2.75488286901826e-08,3.57457105142169,-2.01063399378792,0.0443641306762037,1
"ASV352",7.52176656495422,-1.39156614728275e-07,2.8725164625226,0.0590765851717132,0.952891108387886,1
"ASV355",7.95608943226076,-2.31105609245483e-07,2.11559911193596,-0.724792093301121,0.46857958711922,1
